**Title: Yayınlar**

| Author | Title | Journal | Type | Date | Citation Count |
| Tufan Kumbasar | A New Insight on the Mappings of Type-2 Fuzzy Logic Systems | IEEE International Conference on Fuzzy Systems | Conference Paper | 1.06.2019 | 0 |
| Ovsanna Seta Estrada | Remotely Accessible Open Test Platform for CPS Transportation and CAV Research | IEEE International Symposium on Industrial Electronics | Conference Paper | 1.06.2019 | 0 |
| Mustafa Doğan | Implementation of High Power Microwave Pulse Compressor | IEEE Transactions on Plasma Science | Article | 1.06.2019 | 3 |
| Ovsanna Seta Estrada | A Low-Cost Embedded Data Collection System for Traction Control Systems in Electric Vehicles | Proceedings - 2019 IEEE International Conference on Mechatronics, ICM 2019 | Conference Paper | 24.05.2019 | 1 |
| Ovsanna Seta Estrada | Design and Kinematics of 4- DoF Multi-Purpose Wearable Mechanical Arm (MUWA) Support for Enhanced Operation Stability | Proceedings - 2019 IEEE International Conference on Mechatronics, ICM 2019 | Conference Paper | 24.05.2019 | 1 |
| Fikret Çalışkan | Model Predictive Control and Controller Parameter Optimisation of Combustion Instabilities | International Journal of Turbo and Jet Engines | Article | 1.05.2019 | 1 |
| Gülay Öke Günel | Model free adaptive support vector regressor controller for nonlinear systems | Engineering Applications of Artificial Intelligence | Article | 1.05.2019 | 11 |
| Gülay Öke Günel | The effect of jammers in multi agent systems | 27th Signal Processing and Communications Applications Conference, SIU 2019 | Conference Paper | 1.04.2019 | 0 |
| Yaprak Yalçın | Discrete-time I&I adaptive control for a class of uncertain port-controlled hamiltonian systems | Proceedings - 2019 6th International Conference on Electrical and Electronics Engineering, ICEEE 2019 | Conference Paper | 1.04.2019 | 0 |
| Volkan Sezer | Motion Planning and Control with Randomized Payloads Using Deep Reinforcement Learning | Proceedings - 3rd IEEE International Conference on Robotic Computing, IRC 2019 | Conference Paper | 26.03.2019 | 2 |
| Erhan Yumuk | Design of an integer order proportional-integral/proportional-integral-derivative controller based on model parameters of a certain class of fractional order systems | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.03.2019 | 8 |
| Müjde Güzelkaya | Design of an integer order proportional-integral/proportional-integral-derivative controller based on model parameters of a certain class of fractional order systems | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.03.2019 | 8 |
| Müjde Güzelkaya | Inverse optimal controller design based on multi-objective optimization criteria for discrete-time nonlinear systems | IEEE 7th Palestinian International Conference on Electrical and Computer Engineering, PICECE 2019 | Conference Paper | 1.03.2019 | 3 |
| Tufan Kumbasar | Current development on using Rotary Inverted Pendulum as a benchmark for testing linear and nonlinear control algorithms | Mechanical Systems and Signal Processing | Review | 1.02.2019 | 30 |
| Volkan Sezer | Driving shaft lifetime enhancement by hybrid electrification | Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering | Article | 1.02.2019 | 1 |
| Ovsanna Seta Estrada | Neural Network based Trading Signal Generation in Cypto-Currency Markets | 2018 International Conference on Artificial Intelligence and Data Processing, IDAP 2018 | Conference Paper | 21.01.2019 | 2 |
| Gülay Öke Günel | Genetic-Based Approach to the Synthesis of Rectangular Microstrip Antenna Elements with Reduced Mutual Coupling | International Symposium on Advanced Electrical and Communication Technologies, ISAECT 2018 - Proceedings | Conference Paper | 18.01.2019 | 2 |
| Gülay Öke Günel | PSO Based Approach to the Synthesis of a Cylindrical-Rectangular Ring Microstrip Conformal Antenna Using SVR Models with RBF and Wavelet Kernels | Mediterranean Microwave Symposium | Conference Paper | 14.01.2019 | 3 |
| Tufan Kumbasar | Parameter optimization of interval Type-2 fuzzy neural networks based on PSO and BBBC methods | IEEE/CAA Journal of Automatica Sinica | Article | 1.01.2019 | 88 |
| Metin Gökaşan | Hunting stability and derailment analysis of the high-speed railway vehicle moving on curved tracks | International Journal of Heavy Vehicle Systems | Article | 1.01.2019 | 3 |
| Abdurrahman Yılmaz | Affine ICP for fine localization of smart-AGVs in smart factories | Proceedings of the ASME Design Engineering Technical Conference | Conference Paper | 1.01.2019 | 1 |
| Hakan Temeltaş | Affine ICP for fine localization of smart-AGVs in smart factories | Proceedings of the ASME Design Engineering Technical Conference | Conference Paper | 1.01.2019 | 1 |
| Ovsanna Seta Estrada | Hunting stability and derailment analysis of the high-speed railway vehicle moving on curved tracks | International Journal of Heavy Vehicle Systems | Article | 1.01.2019 | 3 |
| Volkan Sezer | Autonomous overtaking maneuver design based on follow the gap method | ICINCO 2019 - Proceedings of the 16th International Conference on Informatics in Control, Automation and Robotics | Conference Paper | 1.01.2019 | 4 |
| Mustafa Doğan | High power rf operations studies at tarla facility | Canadian Journal of Physics | Article | 1.01.2019 | 1 |
| Yaprak Yalçın | Discrete-time Backstepping Control for Cart-Pendulum System with Disturbance Attenuation via II Disturbance Estimation | ISMSIT 2018 - 2nd International Symposium on Multidisciplinary Studies and Innovative Technologies, Proceedings | Conference Paper | 6.12.2018 | 1 |
| Yaprak Yalçın | Nonlinear Discrete-Time Disturbance Attenuation for Robotic Manipulators with Immersion and Invariance Approach | ISMSIT 2018 - 2nd International Symposium on Multidisciplinary Studies and Innovative Technologies, Proceedings | Conference Paper | 6.12.2018 | 1 |
| Gülay Öke Günel | The safety analysis: Disagreement of wireless communication-based consensus | IEEE Wireless Communications Letters | Article | 1.12.2018 | 3 |
| Mehmet Turan Söylemez | Robust Model Predictive Control Based on Stabilizing Parameter Space Calculus | 2018 European Control Conference, ECC 2018 | Conference Paper | 27.11.2018 | 1 |
| Hakan Temeltaş | Workspace Allocation for Team of Robots with Different Actuation Capabilities | 2018 International Conference on Control and Robots, ICCR 2018 | Conference Paper | 13.11.2018 | 2 |
| Tufan Kumbasar | Analyzing the control surfaces of type-1 and interval type-2 FLCs through an experimental study | IEEE International Conference on Fuzzy Systems | Conference Paper | 12.10.2018 | 3 |
| Tufan Kumbasar | Single vs. Double input interval type-2 fuzzy PID controllers: Which one is better? | IEEE International Conference on Fuzzy Systems | Conference Paper | 12.10.2018 | 2 |
| Aykut Beke | Analyzing the control surfaces of type-1 and interval type-2 FLCs through an experimental study | IEEE International Conference on Fuzzy Systems | Conference Paper | 12.10.2018 | 3 |
| Aykut Beke | Single vs. Double input interval type-2 fuzzy PID controllers: Which one is better? | IEEE International Conference on Fuzzy Systems | Conference Paper | 12.10.2018 | 2 |
| Tufan Kumbasar | Hand gesture recognition systems with the wearable myo armband | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 9 |
| Tufan Kumbasar | FOLLY: A self foldable and self deployable autonomous quadcopter | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 7 |
| Tufan Kumbasar | Fuzzy logic based self-driving racing car control system | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 1 |
| Tufan Kumbasar | YAFT: A fuzzy logic based real time two-wheeled inverted pendulum robot | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 1 |
| Tufan Kumbasar | A vision based positioning gas leakage test automation system | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Erhan Yumuk | Online tuning of derivative order term in fractional controllers | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 3 |
| Müjde Güzelkaya | Online tuning of derivative order term in fractional controllers | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 3 |
| Aykut Beke | Fuzzy logic based self-driving racing car control system | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 1 |
| Aykut Beke | YAFT: A fuzzy logic based real time two-wheeled inverted pendulum robot | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 1 |
| Fikret Çalışkan | Design and control of artificial neural network based low-cost autonomous quadrotor system | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 1 |
| Abdurrahman Yılmaz | An improvement on SA-MCL Algorithm: Ellipse based energy grids | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Hakan Temeltaş | An improvement on SA-MCL Algorithm: Ellipse based energy grids | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Mehmet Turan Söylemez | A new adaptive slip-slide control system for railway vehicles | Mechanical Systems and Signal Processing | Article | 1.10.2018 | 5 |
| Mehmet Turan Söylemez | A comparison of controller performances on the ride comfort of the active suspension system | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Gülay Öke Günel | An adaptive state feedback controller based on SVR for nonlinear systems | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Volkan Sezer | Design and implementation of autonomous parallel and vertical parking mobile vehicle | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 3 |
| Volkan Sezer | Intersection navigation under dynamic constraints using deep reinforcement learning | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 3 |
| Volkan Sezer | Design and control of a tennis ball collector robot | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Mert Can Kurucu | Online tuning of derivative order term in fractional controllers | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 3 |
| Ali Fuat Ergenç | Consensus control of mobile agents with obstacle avoidance using collision cone approach | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 2 |
| Ali Fuat Ergenç | A novel position measuring method for ros-drill© devices in biomedical applications | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Arzuman Can Kutlucan | Design and implementation of autonomous parallel and vertical parking mobile vehicle | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 3 |
| Serhat İkizoğlu | Hyperbolic tangent adaptive LQR+PID control of a quadrotor | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 1 |
| Yaprak Yalçın | Discrete-time backstepping control for underactuated mechanical system with a novel coordinate transformation | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Afife Leyla Gören | Laguerre MPC formulation for automotive adaptive cruise control application and performance analysis | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 2 |
| Yücel Aydın | Adaptive optimal control of MAGLEV systems: An augmented error correction technique | 2018 6th International Conference on Control Engineering and Information Technology, CEIT 2018 | Conference Paper | 1.10.2018 | 0 |
| Tufan Kumbasar | Design and Deployment of Fuzzy PID Controllers to the nano quadcopter Crazyflie 2.0 | 2018 IEEE (SMC) International Conference on Innovations in Intelligent Systems and Applications, INISTA 2018 | Conference Paper | 14.09.2018 | 10 |
| Aykut Beke | Design and Deployment of Fuzzy PID Controllers to the nano quadcopter Crazyflie 2.0 | 2018 IEEE (SMC) International Conference on Innovations in Intelligent Systems and Applications, INISTA 2018 | Conference Paper | 14.09.2018 | 10 |
| Hakan Temeltaş | Optimal regulation of bipedal walking speed despite an unexpected bump in the road | PLoS ONE | Article | 1.09.2018 | 5 |
| Mehmet Turan Söylemez | A Case Study on Determining Stability Boundaries of Parameter Uncertain Systems | MED 2018 - 26th Mediterranean Conference on Control and Automation | Conference Paper | 20.08.2018 | 4 |
| Metin Gökaşan | Disturbance Observer Based Power Control of DFIG Under Unbalanced Network Conditions | Electric Power Components and Systems | Article | 9.08.2018 | 1 |
| Ovsanna Seta Estrada | Disturbance Observer Based Power Control of DFIG Under Unbalanced Network Conditions | Electric Power Components and Systems | Article | 9.08.2018 | 1 |
| Tufan Kumbasar | Big Bang-Big Crunch optimized hierarchical sliding-mode control of X-Z inverted pendulum | Simulation Modelling Practice and Theory | Article | 1.08.2018 | 9 |
| Metin Gökaşan | Stability and bifurcation analysis of the non-linear railway bogie dynamics | Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science | Article | 1.08.2018 | 2 |
| Emre Dincel | Digital PI-PD controller design for arbitrary order systems: Dominant pole placement approach | ISA Transactions | Article | 1.08.2018 | 14 |
| Mehmet Turan Söylemez | Digital PI-PD controller design for arbitrary order systems: Dominant pole placement approach | ISA Transactions | Article | 1.08.2018 | 14 |
| Gülay Öke Günel | Safety-Critical Support Vector Regressor Controller for Nonlinear Systems | Neural Processing Letters | Article | 1.08.2018 | 1 |
| Ovsanna Seta Estrada | Stability and bifurcation analysis of the non-linear railway bogie dynamics | Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science | Article | 1.08.2018 | 2 |
| Ali Fuat Ergenç | A New Delayed Resonator Design Approach for Extended Operable Frequency Range | Journal of Vibration and Acoustics, Transactions of the ASME | Article | 1.08.2018 | 5 |
| Sıddık Murat Yeşiloğlu | Path defined directed graph vector (Pgraph) method for multibody dynamics | Multibody System Dynamics | Article | 15.07.2018 | 2 |
| Hakan Temeltaş | Feature extraction of EMG signals, classification with ANN and kNN algorithms | 26th IEEE Signal Processing and Communications Applications Conference, SIU 2018 | Conference Paper | 5.07.2018 | 6 |
| Tufan Kumbasar | A survey on advancement of hybrid type 2 fuzzy sliding mode control | Neural Computing and Applications | Review | 1.07.2018 | 24 |
| Mustafa Doğan | Effective sensor fusion of a mobile robot for SLAM implementation | Proceedings - 2018 4th International Conference on Control, Automation and Robotics, ICCAR 2018 | Conference Paper | 13.06.2018 | 3 |
| Fikret Çalışkan | Influence of flame dynamics on the optimal control of combustion with uncertainties | Combustion Science and Technology | Article | 3.06.2018 | 1 |
| Hakan Temeltaş | A quantized approach for occupancy grids for autonomous vehicles: Q-Trees | Advanced Robotics | Article | 3.06.2018 | 2 |
| Tufan Kumbasar | Type-2 Fuzzy Logic Controllers Made even Simpler: From Design to Deployment for UAVs | IEEE Transactions on Industrial Electronics | Article | 1.06.2018 | 61 |
| Metin Gökaşan | Mode decoupling robust eigenstructure assignment applied to the lateral-directional dynamics of the F-16 aircraft | Aerospace Science and Technology | Article | 1.06.2018 | 6 |
| Metin Gökaşan | A predictive control framework for torque-based steering assistance to improve safety in highway driving | Vehicle System Dynamics | Article | 4.05.2018 | 19 |
| Volkan Sezer | Intelligent decision making for overtaking maneuver using mixed observable Markov decision process | Journal of Intelligent Transportation Systems: Technology, Planning, and Operations | Article | 4.05.2018 | 8 |
| Mehmet Turan Söylemez | Event-based slip-slide control system for railway vehicles | JVC/Journal of Vibration and Control | Article | 1.05.2018 | 2 |
| Fikret Çalışkan | Simulation-based dynamic model and speed controller design of a small-scale turbojet engine | Aircraft Engineering and Aerospace Technology | Article | 5.03.2018 | 18 |
| Metin Gökaşan | Re-adhesion control strategy based on the optimal slip velocity seeking method | Journal of Modern Transportation | Article | 1.03.2018 | 5 |
| Ovsanna Seta Estrada | Re-adhesion control strategy based on the optimal slip velocity seeking method | Journal of Modern Transportation | Article | 1.03.2018 | 5 |
| Volkan Sezer | Follow the gap with dynamic window approach | International Journal of Semantic Computing | Conference Paper | 1.03.2018 | 8 |
| Tufan Kumbasar | A fuzzy logic based autonomous vehicle control system design in the TORCS environment | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 7 |
| Tufan Kumbasar | Diagnosing interdental decays in mouth radiography images using Kernel Fuzzy C means segmentation and cascade object detector | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 1 |
| Erhan Yumuk | Investigation of the effects of fractional and integer order fuzzy logic PID controllers on system performances | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 6 |
| Erhan Yumuk | Active set method based model predictive control for a ball and beam system | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 2 |
| Müjde Güzelkaya | Investigation of the effects of fractional and integer order fuzzy logic PID controllers on system performances | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 6 |
| Müjde Güzelkaya | Inverse optimal control approach to model predictive control for linear system models | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 5 |
| Müjde Güzelkaya | Inverse optimal controller design for a quadrotor unmanned aerial vehicle | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 1 |
| Emre Dincel | Dominant pole region assignment with continuous PI and PID controllers | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 7 |
| Mehmet Turan Söylemez | Dominant pole region assignment with continuous PI and PID controllers | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 7 |
| Mehmet Turan Söylemez | Implementation and comparison of LQR-MPC on active suspension system | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 4 |
| Mehmet Turan Söylemez | Power consumption based multi agent intersection management method | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 4 |
| Gülay Öke Günel | Genetic based approach to the synthesis of a cylindrical-rectangular microstrip conformal antenna using artificial neural network and Support Vector Regression models | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 5 |
| Gülay Öke Günel | Fuzzy PID type STR based on SVR for nonlinear systems | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 2 |
| Volkan Sezer | Design, implementation and control of dual axis self balancing inverted pendulum using reaction wheels | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 5 |
| Mert Can Kurucu | Investigation of the effects of fractional and integer order fuzzy logic PID controllers on system performances | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 6 |
| Ali Fuat Ergenç | A PMSM driven rotationally oscillating micro drill | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 2 |
| Ali Fuat Ergenç | An intelligent driving strategy engine for a solar car | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 1 |
| Serhat İkizoğlu | Performance comparison of ML methods applied to motion sensory information for identification of vestibular system disorders | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 2 |
| Sıddık Murat Yeşiloğlu | Modelling and control of single legged hopping robot | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 0 |
| Osman Kaan Erol | Coordinate exhaustive search initialization for big bang big crunch optimization algorithm | 2017 10th International Conference on Electrical and Electronics Engineering, ELECO 2017 | Conference Paper | 19.01.2018 | 0 |
| Tufan Kumbasar | Type-2 fuzzy logic control in computer games | Studies in Fuzziness and Soft Computing | Book Chapter | 1.01.2018 | 2 |
| Müjde Güzelkaya | Inverse optimal controller based on extended Kalman filter for discrete-time nonlinear systems | Optimal Control Applications and Methods | Article | 1.01.2018 | 12 |
| Metin Gökaşan | Modeling, simulation and re-adhesion control of an induction motor-based railway electric traction system | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.01.2018 | 10 |
| Metin Gökaşan | Comparison of the re-adhesion control strategies in high-speed train | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.01.2018 | 9 |
| Metin Gökaşan | Improved bilateral teleoperation with proactive haptic sensing and transmission | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.01.2018 | 3 |
| Abdurrahman Yılmaz | Investigation of the effects of eccentricity on induction motor via multi-resolution wavelet analysis | Istanbul University - Journal of Electrical and Electronics Engineering | Article | 1.01.2018 | 1 |
| Emre Dincel | Robust Control of Railway Traction System | IFAC-PapersOnLine | Conference Paper | 1.01.2018 | 5 |
| Emre Dincel | Further Results on Dominant Pole Placement via Stability Mapping Approach | IFAC-PapersOnLine | Conference Paper | 1.01.2018 | 4 |
| Hakan Temeltaş | A new motion planning framework based on the Quantized LQR method for autonomous robots | International Journal of Advanced Computer Science and Applications | Article | 1.01.2018 | 0 |
| Mehmet Turan Söylemez | Robust Control of Railway Traction System | IFAC-PapersOnLine | Conference Paper | 1.01.2018 | 5 |
| Mehmet Turan Söylemez | Further Results on Dominant Pole Placement via Stability Mapping Approach | IFAC-PapersOnLine | Conference Paper | 1.01.2018 | 4 |
| Ovsanna Seta Estrada | Comparison of the re-adhesion control strategies in high-speed train | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.01.2018 | 9 |
| Ovsanna Seta Estrada | Improved bilateral teleoperation with proactive haptic sensing and transmission | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.01.2018 | 3 |
| Volkan Sezer | Design and implementation of a new speed planner for semiautonomous systems | Turkish Journal of Electrical Engineering and Computer Sciences | Article | 1.01.2018 | 0 |
| Ali Fuat Ergenç | Observer-Based Delayed Resonator with Acceleration Feedback | 0 | Conference Paper | 1.01.2018 | 3 |
| Ali Fuat Ergenç | An Algebraic Approach for a Stability Analysis Methodology for Multiple Time-delay Systems | 0 | Conference Paper | 1.01.2018 | 0 |
| Mustafa Doğan | Aligned polyvinylpyrrolidone nanofibers with advanced electrospinning for biomedical applications | Bio-Medical Materials and Engineering | Article | 1.01.2018 | 4 |
